"","kudos_count","kilojoules","average_heartrate","energy_per_hr"
"1",0,641.4,151.2,4.24206349206349
"2",0,763.1,135.9,5.61515820456218
"3",3,1114.6,143,7.79440559440559
"4",0,450.6,150.5,2.99401993355482
"5",11,1547.7,147.1,10.5214140040789
"6",0,1532.7,127.8,11.9929577464789
"7",0,939.9,140.2,6.70399429386591
"8",11,2020.4,115.6,17.477508650519
"9",3,771,132.2,5.8320726172466
"10",7,1756.5,134.2,13.0886736214605
"11",0,2538.8,151.8,16.7246376811594
"12",10,869.3,160.1,5.42973141786384
"13",0,683.9,151.4,4.51717305151915
"14",0,493.7,137.4,3.59315866084425
"15",0,97.8,137.2,0.712827988338192
"16",0,430.2,174.3,2.46815834767642
"17",9,957.4,157.1,6.0942075111394
"18",0,2202.8,153.6,14.3411458333333
"19",11,249.9,112.4,2.22330960854093
"20",2,175.1,181.7,0.963676389653275
"21",0,630.7,109.6,5.75456204379562
"22",3,602.3,134.4,4.48139880952381
"23",6,631.8,151.6,4.16754617414248
"24",2,359.8,137.9,2.60913705583756
"25",1,2636.6,123.7,21.3144704931285
"26",4,418.8,139.2,3.00862068965517
"27",0,1612.2,142.7,11.2978276103714
"28",0,1104.7,150,7.36466666666667
"29",0,341.1,127.2,2.68160377358491
"30",1,135.2,131.3,1.02970297029703
"31",1,553.3,145,3.81586206896552
"32",0,818.3,141.6,5.77895480225989
"33",0,865.7,136.1,6.36076414401176
"34",0,1353.5,133.9,10.1082897684839
"35",0,674.2,156,4.32179487179487
"36",1,471.1,151.4,3.1116248348745
"37",1,762.4,142.6,5.34642356241234
"38",0,1140.3,69,16.5260869565217
"39",2,731.1,151,4.84172185430464
"40",0,343.7,138.3,2.48517715112075
"41",0,272.5,148.1,1.83997299122215
"42",1,90.1,120.2,0.749584026622296
"43",2,1235.1,147.2,8.390625
"44",0,649.8,121.2,5.36138613861386
"45",0,831.3,141.2,5.88739376770538
"46",1,1422.4,145.1,9.80289455547898
"47",2,814.4,117.6,6.92517006802721
"48",0,129.1,133.6,0.966317365269461
"49",11,1790.7,134.5,13.3137546468401
"50",0,502.8,129.1,3.89465530596437
"51",2,35.7,147.3,0.242362525458248
"52",11,1151.5,139.6,8.24856733524355
"53",3,439.4,135.1,3.25240562546262
"54",0,802,154.5,5.19093851132686
"55",7,395.8,155.7,2.54206807964033
"56",21,1856.2,140.5,13.2113879003559
"57",3,281.5,129.3,2.17710750193349
"58",2,693,151,4.58940397350993
"59",0,277.6,150.2,1.84820239680426
"60",2,715,146.3,4.88721804511278
"61",0,1010.3,173.5,5.82305475504323
"62",0,664.9,163.1,4.07664009809933
"63",0,1629.9,142,11.4781690140845
"64",0,950.4,117.5,8.08851063829787
"65",1,1067.3,139,7.67841726618705
"66",10,603.2,120.9,4.98924731182796
"67",0,1057.5,122.9,8.60455655004068
"68",7,921.4,158.5,5.81324921135647
"69",1,489.4,141.1,3.46846208362863
"70",8,1462,129.9,11.2548113933795
"71",1,993.6,126.8,7.83596214511041
"72",1,1058.3,161.6,6.54888613861386
"73",14,596.6,156.7,3.80727504786216
"74",0,363,160.4,2.26309226932668
"75",0,767.3,139.5,5.50035842293907
"76",5,1061.2,137.9,7.69543147208122
"77",3,1548.8,147.1,10.5288919102651
"78",3,2006.4,125.2,16.0255591054313
"79",4,1170,84.4,13.8625592417062
"80",9,3371.8,147.2,22.90625
"81",1,1508.8,139.1,10.8468727534148
"82",6,1709.1,172.9,9.8849045691151
"83",3,1091.4,138.1,7.90296886314265
"84",4,866.2,145.2,5.96556473829201
"85",57,704.9,137.2,5.13775510204082
"86",5,765.4,118.2,6.47546531302876
"87",0,667.7,146.5,4.55767918088737
"88",0,384.9,114.3,3.36745406824147
"89",1,828,116.5,7.10729613733906
"90",103,1181.7,148.8,7.94153225806452
"91",2,93.5,137.1,0.681983953318746
"92",17,208.3,152.4,1.36679790026247
"93",0,385.1,154.3,2.49578742709008
"94",22,2461.5,146.8,16.7677111716621
"95",0,11.2,151.4,0.0739762219286658
"96",27,3030.1,147.8,20.5013531799729
"97",1,564.4,112.8,5.00354609929078
"98",0,596.7,132.2,4.51361573373676
"99",7,1077.6,124.3,8.66934835076428
"100",1,671.2,100.8,6.65873015873016
"101",6,1094.3,134,8.16641791044776
"102",3,347.9,134.5,2.58661710037175
"103",0,1013.5,147.2,6.8851902173913
"104",1,1758,160,10.9875
"105",1,856.3,169.1,5.06386753400355
"106",1,501.9,152.8,3.28468586387435
"107",0,337.2,110,3.06545454545455
"108",0,1391.4,147.7,9.42044685172647
"109",3,627.9,139.3,4.50753768844221
"110",3,495.8,133.6,3.71107784431138
"111",18,894.8,137.6,6.50290697674419
"112",0,636.3,142,4.48098591549296
"113",0,644.2,144.5,4.45813148788927
"114",5,580.8,112.3,5.17186108637578
"115",29,1144.3,137.9,8.29804205946338
"116",0,292.4,138.1,2.11730629978277
"117",0,651.5,154.4,4.21955958549223
"118",13,519.7,148.2,3.50674763832659
"119",4,1134.5,127.3,8.91201885310291
"120",9,681.2,158.9,4.28697293895532
"121",7,583.3,122.2,4.77332242225859
"122",1,1064.1,135.2,7.87056213017751
"123",11,2118.1,134.2,15.7831594634873
"124",0,256.4,125.3,2.0462889066241
"125",4,866.6,140.9,6.15046132008517
"126",6,351.7,150.6,2.33532536520584
"127",6,2636.6,114.4,23.0472027972028
"128",5,5195.6,132.2,39.3010590015129
"129",0,860.2,128.7,6.68376068376068
"130",0,2009.4,133.7,15.0291697830965
"131",2,492.4,136.3,3.61261922230374
"132",11,1286.8,140,9.19142857142857
"133",26,1340.7,150,8.938
"134",0,437.5,140.2,3.12054208273894
"135",0,169.4,37.1,4.56603773584906
"136",52,1758.1,154,11.4162337662338
"137",8,200.4,117.5,1.70553191489362
"138",0,108.1,173.1,0.624494511842865
"139",0,474.3,153.5,3.08990228013029
"140",0,248.1,128.3,1.93374902572097
"141",155,700.1,149.7,4.67668670674683
"142",0,224.3,134.2,1.67138599105812
"143",4,370,121.3,3.05028854080791
"144",12,1657.9,185.3,8.94711279007016
"145",0,365.6,132.6,2.75716440422323
"146",3,1720.9,116.4,14.7843642611684
"147",9,230.2,150.1,1.53364423717522
"148",4,5114.5,93.4,54.7591006423983
"149",15,337.2,97.6,3.45491803278689
"150",0,465.4,151.6,3.06992084432718
"151",1,534.6,139.9,3.82130092923517
"152",0,1307.7,129.3,10.1136890951276
"153",0,1505.6,151.4,9.9445178335535
"154",1,267,136,1.96323529411765
"155",1,1418,154.9,9.15429309231762
"156",1,507.5,144,3.52430555555556
"157",0,2157.4,136.8,15.7704678362573
"158",16,2398.7,157.5,15.2298412698413
"159",1,1765,146.7,12.0313565098841
"160",0,267.2,121.9,2.19196062346185
"161",6,692.7,149.8,4.6241655540721
"162",24,1281.1,142.8,8.97128851540616
"163",0,89.6,133.7,0.670157068062827
"164",3,1526.7,141.4,10.7970297029703
"165",7,122.9,140.1,0.877230549607423
"166",6,623.1,154.6,4.03040103492885
"167",3,553.5,125.8,4.39984101748808
"168",1,558.9,138.9,4.02375809935205
"169",50,1929.9,153.5,12.5726384364821
"170",1,411.8,134,3.07313432835821
"171",3,1115.2,153.7,7.25569290826285
"172",11,1775,151.5,11.7161716171617
"173",0,426.5,143.5,2.97212543554007
"174",2,577.5,138.6,4.16666666666667
"175",1,161.3,66,2.44393939393939
"176",0,1051.3,71.2,14.7654494382022
"177",0,2199,144.7,15.1969592259848
"178",0,755.7,132.9,5.686230248307
"179",3,1111.2,125,8.8896
"180",0,127.5,130,0.980769230769231
"181",5,1009,131.8,7.65553869499241
"182",2,1854.9,131.6,14.0949848024316
"183",0,40.3,98.7,0.408308004052685
"184",0,166.5,138.4,1.20303468208092
"185",1,1725.3,149.6,11.5327540106952
"186",0,1373,143.3,9.58129797627355
"187",0,778.7,111.6,6.97759856630824
"188",25,4552.3,164.6,27.6567436208992
"189",0,932.4,146.9,6.34717494894486
"190",10,1096.8,145.9,7.51747772446881
"191",0,435.7,142.2,3.06399437412096
"192",10,783.4,153.3,5.1102413568167
"193",1,2193.5,136.4,16.0813782991202
"194",0,1445.5,124.3,11.6291230893001
"195",0,1409.2,141.3,9.97310686482661
"196",5,1961.7,137.6,14.2565406976744
"197",0,728.2,153.7,4.73780091086532
"198",0,140.2,189.2,0.741014799154334
"199",4,3865.3,127.5,30.3160784313725
"200",0,121.5,127.1,0.955940204563336
"201",12,496,147.9,3.35361730899256
"202",2,594.4,147.6,4.02710027100271
"203",0,92.5,108.1,0.855689176688252
"204",18,473.8,180.4,2.62638580931264
"205",5,1886,142.7,13.2165381920112
"206",2,867.8,152.5,5.69049180327869
"207",0,1078.1,148.9,7.24042981867025
